symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
TUSK,"Mammoth Energy Services, Inc. Common Stock",2451,2016-10-14,2026-07-17,69.74531214355612,408304.0122270584,134877812.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TWIN,"Twin Disc, Incorporated Common Stock",2514,2016-07-18,2026-07-17,60.819757057673975,677220.5003261566,325811662.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
TZOO,Travelzoo Common Stock,2514,2016-07-18,2026-07-17,59.5733280259888,930920.5053329468,112460016.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ULH,"Universal Logistics Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,80.46536301392135,850091.9930458069,376822884.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
UNCY,"Unicycive Therapeutics, Inc. Common Stock",1260,2021-07-12,2026-07-17,78.1075336271855,2810192.9758787155,147374485.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
UROY,Uranium Royalty Corp. Common Stock,1311,2021-04-28,2026-07-17,74.41635812196442,8519469.232535362,411615845.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
USAU,U.S. Gold Corp. Common Stock,2514,2016-07-18,2026-07-17,65.66708157343331,4190295.0652599335,235141573.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
USGO,U.S. GoldMining Inc. Common stock,813,2023-04-20,2026-07-17,71.67418673205283,614852.48670578,108571435.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
VNDA,Vanda Pharmaceuticals Inc. Common Stock,2514,2016-07-18,2026-07-17,81.78255766119102,5462790.59882164,327137457.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
VOXR,Vox Royalty Corp. Common Stock,1495,2020-08-04,2026-07-17,54.140046731192726,2292691.071629524,287533230.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
VRA,"Vera Bradley, Inc. Common Stock",2514,2016-07-18,2026-07-17,84.21451996343414,553565.9952282906,106643445.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
VREX,Varex Imaging Corporation Common Stock,2384,2017-01-23,2026-07-17,51.08247167475714,3463115.495824814,444155000.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
VTVT,vTv Therapeutics Inc. Class A Common Stock,2514,2016-07-18,2026-07-17,75.23208212671781,594624.5101928711,129510868.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
VYGR,"Voyager Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,64.15572169935747,2145108.4787130356,191535480.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
WEST,Westrock Coffee Company Common Stock,1189,2021-10-20,2026-07-17,70.64587198975991,2202793.0534362793,749245148.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
WHWK,"Whitehawk Therapeutics, Inc. Common Stock",2114,2018-02-16,2026-07-17,78.48456331979774,470121.9960927963,209217150.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
WOOF,"Petco Health and Wellness Company, Inc. Class A Common Stock",1382,2021-01-14,2026-07-17,75.79513100443887,6032064.191353321,860127050.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
WW,"WW International, Inc.  Common Stock",265,2025-06-27,2026-07-17,90.03476901405963,5086717.97246933,145681933.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
XGN,Exagen Inc. Common Stock,1715,2019-09-19,2026-07-17,72.15779245127982,1483878.9769649506,106061693.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
XTIA,"XTI Aerospace, Inc. Common Stock",2514,2016-07-18,2026-07-17,88.63091919156828,2330654.4912159443,56177572.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ZUMZ,Zumiez Inc. Common Stock,2514,2016-07-18,2026-07-17,54.63869284100939,3611736.5537643433,315341698.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
