symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
CPSH,CPS Technologies Corp. Common Stock,2514,2016-07-18,2026-07-17,136.80613755336057,769439.9642944336,78778433.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CRMT,America's Car-Mart Inc Common Stock,2514,2016-07-18,2026-07-17,128.34320412711347,2867504.961204529,31394030.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CRVO,CervoMed Inc. Common Stock,2514,2016-07-18,2026-07-17,115.04577866637533,503356.9837093353,41660798.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CV,"CapsoVision, Inc. Common Stock",262,2025-07-02,2026-07-17,99.31610474229537,577187.5,335255662.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CXAI,CXApp Inc. Class A Common Stock,1368,2021-02-04,2026-07-17,126.64406283743509,606240.6740665436,9363927.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CYCU,"Cycurion, Inc. Common Stock",355,2025-02-18,2026-07-17,176.49561408316438,566091.3398096561,3625338.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CYPH,Cypherpunk Technologies Inc. Common Stock,2382,2017-01-25,2026-07-17,409.5553743898585,1602732.5329363346,75387500.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DBGI,"Digital Brands Group, Inc. Common Stock",1299,2021-05-14,2026-07-17,203.02452737442837,969810.4109942912,14616516.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DEFT,"Defi Technologies, Inc. Common Stock",481,2024-08-15,2026-07-17,98.0324444939886,5207301.148927212,164855795.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DFDV,DeFi Development Corp. Common Stock,748,2023-07-25,2026-07-17,116.0142269363328,8210766.895747185,84782747.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),1229,2021-08-24,2026-07-17,213.0325349604369,1242931.5164208412,18710396.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DFNS,T3 Defense Inc. Common Stock,2514,2016-07-18,2026-07-17,142.2701711155731,2800113.125,5305100.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DGNX,Diginex Limited Ordinary Shares,373,2025-01-22,2026-07-17,165.43216257711927,2323543.436483383,32884063.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DMRA,"Damora Therapeutics, Inc. Common Stock",1434,2020-10-29,2026-07-17,475.3222691012965,3474286.482524872,1937694547.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
DOMO,"Domo, Inc. Class B Common Stock",2022,2018-06-29,2026-07-17,99.41189253529993,6380633.828163147,157123959.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
DTCX,"Datacentrex, Inc. Common Stock",1085,2022-03-21,2026-07-17,122.58482383683022,934307.9933166504,83967032.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
EDIT,"Editas Medicine, Inc. Common Stock",2514,2016-07-18,2026-07-17,92.7822529406234,4414919.031739235,291760720.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
EHTH,"eHealth, Inc. Common Stock",2514,2016-07-18,2026-07-17,105.46706728910812,1053221.4830636978,47294117.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ELAB,PMGC Holdings Inc. Common Stock,664,2023-11-21,2026-07-17,251.8930602059492,538025.9992485046,4861814.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
ELBM,Electra Battery Materials Corporation Common Stock,1386,2021-01-08,2026-07-17,349.49690848441463,528444.4849669933,53506869.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
