symbol,yahoo_symbol,rows,first_date,last_date
ATXG,ATXG,2103,2018-03-06,2026-07-17
ATYR,ATYR,2514,2016-07-18,2026-07-17
AUBN,AUBN,2514,2016-07-18,2026-07-17
AUC,AUC,1811,2019-05-03,2026-07-17
AUDC,AUDC,2514,2016-07-18,2026-07-17
AUID,AUID,1279,2021-06-14,2026-07-17
AUPH,AUPH,2514,2016-07-18,2026-07-17
AUR,AUR,1303,2021-05-10,2026-07-17
AURA,AURA,1182,2021-10-29,2026-07-17
AURE,AURE,760,2023-07-07,2026-07-17
AUUD,AUUD,1360,2021-02-17,2026-07-17
AVAH,AVAH,1311,2021-04-28,2026-07-17
AVAT,AVAT,365,2025-02-03,2026-07-17
AVAV,AVAV,2514,2016-07-18,2026-07-17
AVBH,AVBH,2514,2016-07-18,2026-07-17
AVBP,AVBP,620,2024-01-26,2026-07-17
AVGO,AVGO,2514,2016-07-18,2026-07-17
AVIR,AVIR,1433,2020-10-30,2026-07-17
AVLN,AVLN,54,2026-04-30,2026-07-17
AVNW,AVNW,2514,2016-07-18,2026-07-17
AVO,AVO,1453,2020-10-02,2026-07-17
AVPT,AVPT,1682,2019-11-05,2026-07-17
AVR,AVR,397,2024-12-13,2026-07-17
AVT,AVT,2514,2016-07-18,2026-07-17
AVTX,AVTX,2514,2016-07-18,2026-07-17
AVXL,AVXL,2514,2016-07-18,2026-07-17
AWRE,AWRE,2514,2016-07-18,2026-07-17
AXGN,AXGN,2514,2016-07-18,2026-07-17
AXIN,AXIN,241,2025-08-01,2026-07-17
AXON,AXON,2514,2016-07-18,2026-07-17
AXSM,AXSM,2514,2016-07-18,2026-07-17
AXTI,AXTI,2514,2016-07-18,2026-07-17
AYTU,AYTU,2514,2016-07-18,2026-07-17
AZI,AZI,472,2024-08-28,2026-07-17
AZIO,AZIO,2284,2017-06-15,2026-07-17
BACC,BACC,240,2025-08-04,2026-07-17
BAER,BAER,1340,2021-03-17,2026-07-17
BAFN,BAFN,1386,2021-01-08,2026-07-17
BAND,BAND,2181,2017-11-09,2026-07-17
BANF,BANF,2514,2016-07-18,2026-07-17
BANL,BANL,832,2023-03-23,2026-07-17
BANR,BANR,2514,2016-07-18,2026-07-17
BANX,BANX,2514,2016-07-18,2026-07-17
BAOS,BAOS,1366,2021-02-08,2026-07-17
BATRA,BATRA,2514,2016-07-18,2026-07-17
BATRK,BATRK,2514,2016-07-18,2026-07-17
BBCP,BBCP,2238,2017-08-21,2026-07-17
BBCQ,BBCQ,118,2026-01-28,2026-07-17
BBGI,BBGI,2514,2016-07-18,2026-07-17
BBIO,BBIO,1773,2019-06-27,2026-07-17
BBLG,BBLG,1194,2021-10-13,2026-07-17
BBNX,BBNX,367,2025-01-30,2026-07-17
BBOT,BBOT,610,2024-02-09,2026-07-17
BBSI,BBSI,2514,2016-07-18,2026-07-17
BCAB,BCAB,1401,2020-12-16,2026-07-17
BCAL,BCAL,2514,2016-07-18,2026-07-17
BCAR,BCAR,228,2025-08-20,2026-07-17
BCAX,BCAX,461,2024-09-13,2026-07-17
BCBP,BCBP,2514,2016-07-18,2026-07-17
BCDA,BCDA,2514,2016-07-18,2026-07-17
BCG,BCG,578,2024-03-27,2026-07-17
BCIC,BCIC,2514,2016-07-18,2026-07-17
BCML,BCML,2514,2016-07-18,2026-07-17
BCPC,BCPC,2514,2016-07-18,2026-07-17
BCRX,BCRX,2514,2016-07-18,2026-07-17
BDCI,BDCI,188,2025-10-16,2026-07-17
BDSX,BDSX,1435,2020-10-28,2026-07-17
BDTX,BDTX,1623,2020-01-31,2026-07-17
BEAG,BEAG,396,2024-12-16,2026-07-17
BEAM,BEAM,1619,2020-02-06,2026-07-17
BEAT,BEAT,1173,2021-11-11,2026-07-17
BEEM,BEEM,2514,2016-07-18,2026-07-17
BEEP,BEEP,724,2023-08-28,2026-07-17
BELFA,BELFA,2514,2016-07-18,2026-07-17
BELFB,BELFB,2514,2016-07-18,2026-07-17
BENF,BENF,1158,2021-12-03,2026-07-17
BETR,BETR,1309,2021-04-30,2026-07-17
BFC,BFC,2514,2016-07-18,2026-07-17
BFRG,BFRG,859,2023-02-13,2026-07-17
BFRI,BFRI,1182,2021-10-29,2026-07-17
BFST,BFST,2070,2018-04-23,2026-07-17
BGC,BGC,2514,2016-07-18,2026-07-17
BGDE,BGDE,2514,2016-07-18,2026-07-17
BGIN,BGIN,185,2025-10-21,2026-07-17
BGL,BGL,266,2025-06-26,2026-07-17
BGLC,BGLC,1386,2021-01-08,2026-07-17
BGM,BGM,1384,2021-01-12,2026-07-17
BGMS,BGMS,2514,2016-07-18,2026-07-17
BHAV,BHAV,64,2026-04-16,2026-07-17
BHRB,BHRB,2514,2016-07-18,2026-07-17
BHST,BHST,1386,2021-01-08,2026-07-17
BIAF,BIAF,971,2022-09-01,2026-07-17
BIIB,BIIB,2514,2016-07-18,2026-07-17
BIOA,BIOA,452,2024-09-26,2026-07-17
BIOX,BIOX,2091,2018-03-22,2026-07-17
BIRD,BIRD,1179,2021-11-03,2026-07-17
BIVI,BIVI,1463,2020-09-18,2026-07-17
BIXI,BIXI,143,2025-12-19,2026-07-17
BIYA,BIYA,332,2025-03-21,2026-07-17
BJDX,BJDX,1174,2021-11-10,2026-07-17
BJRI,BJRI,2514,2016-07-18,2026-07-17
BKHA,BKHA,546,2024-05-13,2026-07-17
BKNG,BKNG,2514,2016-07-18,2026-07-17
BKR,BKR,2514,2016-07-18,2026-07-17
BKYI,BKYI,2514,2016-07-18,2026-07-17
BL,BL,2441,2016-10-28,2026-07-17
BLBD,BLBD,2514,2016-07-18,2026-07-17
BLFS,BLFS,2514,2016-07-18,2026-07-17
BLIN,BLIN,2514,2016-07-18,2026-07-17
BLKB,BLKB,2514,2016-07-18,2026-07-17
BLLN,BLLN,173,2025-11-06,2026-07-17
BLMN,BLMN,2514,2016-07-18,2026-07-17
BLNE,BLNE,2397,2017-01-03,2026-07-17
BLNK,BLNK,2514,2016-07-18,2026-07-17
BLRK,BLRK,115,2026-02-02,2026-07-17
BLUW,BLUW,242,2025-07-31,2026-07-17
BLZE,BLZE,1173,2021-11-11,2026-07-17
BLZR,BLZR,176,2025-11-03,2026-07-17
BMBL,BMBL,1363,2021-02-11,2026-07-17
BMEA,BMEA,1319,2021-04-16,2026-07-17
BMGL,BMGL,350,2025-02-25,2026-07-17
BMHL,BMHL,256,2025-07-11,2026-07-17
BMRA,BMRA,2514,2016-07-18,2026-07-17
BMRC,BMRC,2514,2016-07-18,2026-07-17
BMRN,BMRN,2514,2016-07-18,2026-07-17
BNAI,BNAI,1311,2021-04-28,2026-07-17
BNC,BNC,2514,2016-07-18,2026-07-17
BNGO,BNGO,1986,2018-08-21,2026-07-17
BNKK,BNKK,1433,2020-10-30,2026-07-17
BNRG,BNRG,1039,2022-05-25,2026-07-17
BNTC,BNTC,2514,2016-07-18,2026-07-17
BNZI,BNZI,1362,2021-02-12,2026-07-17
BODI,BODI,1381,2021-01-15,2026-07-17
BOF,BOF,773,2023-06-16,2026-07-17
BOKF,BOKF,2514,2016-07-18,2026-07-17
BOLD,BOLD,577,2024-03-28,2026-07-17
BOLT,BOLT,1367,2021-02-05,2026-07-17
BON,BON,1271,2021-06-24,2026-07-17
BOOM,BOOM,2514,2016-07-18,2026-07-17
BOSC,BOSC,2514,2016-07-18,2026-07-17
BOT,BOT,47,2026-05-11,2026-07-17
BOTJ,BOTJ,2514,2016-07-18,2026-07-17
BOXL,BOXL,2167,2017-11-30,2026-07-17
BPAC,BPAC,133,2026-01-06,2026-07-17
BPOP,BPOP,2514,2016-07-18,2026-07-17
BPRN,BPRN,2295,2017-05-31,2026-07-17
BRAI,BRAI,107,2026-02-12,2026-07-17
BRCB,BRCB,212,2025-09-12,2026-07-17
BREZ,BREZ,25,2026-06-11,2026-07-17
BRFH,BRFH,2514,2016-07-18,2026-07-17
BRID,BRID,2514,2016-07-18,2026-07-17
BRKH,BRKH,4,2026-07-14,2026-07-17
BRKR,BRKR,2514,2016-07-18,2026-07-17
BRLT,BRLT,1208,2021-09-23,2026-07-17
BRR,BRR,278,2025-06-09,2026-07-17
BRTX,BRTX,2514,2016-07-18,2026-07-17
BRUN,BRUN,387,2024-12-30,2026-07-17
BRZE,BRZE,1169,2021-11-17,2026-07-17
BSAA,BSAA,237,2025-08-07,2026-07-17
BSBK,BSBK,1633,2020-01-16,2026-07-17
BSET,BSET,2514,2016-07-18,2026-07-17
BSIN,BSIN,2514,2016-07-18,2026-07-17
BSP,BSP,12,2026-07-01,2026-07-17
BSRR,BSRR,2514,2016-07-18,2026-07-17
BSVN,BSVN,1965,2018-09-20,2026-07-17
BSY,BSY,1460,2020-09-23,2026-07-17
BTAI,BTAI,2101,2018-03-08,2026-07-17
BTBD,BTBD,1172,2021-11-12,2026-07-17
BTBT,BTBT,2093,2018-03-20,2026-07-17
BTCS,BTCS,2514,2016-07-18,2026-07-17
BTCT,BTCT,1946,2018-10-17,2026-07-17
BTDR,BTDR,1248,2021-07-28,2026-07-17
BTMD,BTMD,1311,2021-04-28,2026-07-17
BTOC,BTOC,545,2024-05-14,2026-07-17
BTOG,BTOG,1739,2019-08-15,2026-07-17
BTQ,BTQ,202,2025-09-26,2026-07-17
BTTC,BTTC,198,2025-10-02,2026-07-17
BULL,BULL,979,2022-08-22,2026-07-17
BUSE,BUSE,2514,2016-07-18,2026-07-17
BVC,BVC,1333,2021-03-26,2026-07-17
BVFL,BVFL,2514,2016-07-18,2026-07-17
BVS,BVS,1363,2021-02-11,2026-07-17
BWB,BWB,2097,2018-03-14,2026-07-17
BWEN,BWEN,2514,2016-07-18,2026-07-17
BWFG,BWFG,2514,2016-07-18,2026-07-17
BWIN,BWIN,1690,2019-10-24,2026-07-17
BWMN,BWMN,1304,2021-05-07,2026-07-17
BYAH,BYAH,388,2024-12-27,2026-07-17
BYFC,BYFC,2514,2016-07-18,2026-07-17
BYND,BYND,1812,2019-05-02,2026-07-17
BYRN,BYRN,2514,2016-07-18,2026-07-17
BYSI,BYSI,2352,2017-03-09,2026-07-17
BZAI,BZAI,1119,2022-01-31,2026-07-17
BZFD,BZFD,1348,2021-03-05,2026-07-17
CABA,CABA,1689,2019-10-25,2026-07-17
CABR,CABR,166,2025-11-17,2026-07-17
CAC,CAC,2514,2016-07-18,2026-07-17
CACC,CACC,2514,2016-07-18,2026-07-17
CADL,CADL,1249,2021-07-27,2026-07-17
CAES,CAES,21,2026-06-17,2026-07-17
CAI,CAI,271,2025-06-18,2026-07-17
CAII,CAII,19,2026-06-22,2026-07-17
CAKE,CAKE,2514,2016-07-18,2026-07-17
CALC,CALC,775,2023-06-14,2026-07-17
CALM,CALM,2514,2016-07-18,2026-07-17
CAMP,CAMP,441,2024-10-11,2026-07-17
CAMT,CAMT,2514,2016-07-18,2026-07-17
CAPN,CAPN,432,2024-10-24,2026-07-17
CAPR,CAPR,2514,2016-07-18,2026-07-17
CAPS,CAPS,2514,2016-07-18,2026-07-17
CAQ,CAQ,76,2026-03-30,2026-07-17
CAR,CAR,2514,2016-07-18,2026-07-17
CARE,CARE,2514,2016-07-18,2026-07-17
CARG,CARG,2201,2017-10-12,2026-07-17
CARL,CARL,248,2025-07-23,2026-07-17
CART,CART,709,2023-09-19,2026-07-17
CASH,CASH,2514,2016-07-18,2026-07-17
CASS,CASS,2514,2016-07-18,2026-07-17
CAST,CAST,90,2026-03-10,2026-07-17
CASY,CASY,2514,2016-07-18,2026-07-17
CATY,CATY,2514,2016-07-18,2026-07-17
CBAT,CBAT,2514,2016-07-18,2026-07-17
CBC,CBC,162,2025-11-21,2026-07-17
CBFV,CBFV,2514,2016-07-18,2026-07-17
CBIO,CBIO,2514,2016-07-18,2026-07-17
CBK,CBK,198,2025-10-02,2026-07-17
CBLL,CBLL,441,2024-10-11,2026-07-17
CBNK,CBNK,1961,2018-09-26,2026-07-17
CBRL,CBRL,2514,2016-07-18,2026-07-17
CBRS,CBRS,44,2026-05-14,2026-07-17
CBSH,CBSH,2514,2016-07-18,2026-07-17
CBUS,CBUS,2260,2017-07-20,2026-07-17
CCAP,CCAP,1622,2020-02-03,2026-07-17
CCAQ,CCAQ,275,2025-06-12,2026-07-17
CCB,CCB,2009,2018-07-19,2026-07-17
CCBG,CCBG,2514,2016-07-18,2026-07-17
CCC,CCC,1452,2020-10-05,2026-07-17
CCCC,CCCC,1453,2020-10-02,2026-07-17
CCEP,CCEP,2514,2016-07-18,2026-07-17
CCG,CCG,710,2023-09-18,2026-07-17
CCHH,CCHH,197,2025-10-03,2026-07-17
CCII,CCII,226,2025-08-22,2026-07-17
CCIX,CCIX,519,2024-06-21,2026-07-17
CCLD,CCLD,2514,2016-07-18,2026-07-17
CCNE,CCNE,2514,2016-07-18,2026-07-17
CCRN,CCRN,2514,2016-07-18,2026-07-17
CCSI,CCSI,1203,2021-09-30,2026-07-17
CCTG,CCTG,626,2024-01-18,2026-07-17
CCXI,CCXI,110,2026-02-09,2026-07-17
CD,CD,2514,2016-07-18,2026-07-17
CDIO,CDIO,1129,2022-01-14,2026-07-17
CDLX,CDLX,2119,2018-02-09,2026-07-17
CDNA,CDNA,2514,2016-07-18,2026-07-17
CDNL,CDNL,150,2025-12-10,2026-07-17
CDNS,CDNS,2514,2016-07-18,2026-07-17
CDRO,CDRO,1374,2021-01-27,2026-07-17
CDT,CDT,705,2023-09-25,2026-07-17
CDTG,CDTG,562,2024-04-19,2026-07-17
CDW,CDW,2514,2016-07-18,2026-07-17
CDXS,CDXS,2514,2016-07-18,2026-07-17
CDZI,CDZI,2514,2016-07-18,2026-07-17
CECO,CECO,2514,2016-07-18,2026-07-17
CEG,CEG,1127,2022-01-19,2026-07-17
CELC,CELC,2217,2017-09-20,2026-07-17
CELH,CELH,2514,2016-07-18,2026-07-17
CELU,CELU,1744,2019-08-08,2026-07-17
CELZ,CELZ,2514,2016-07-18,2026-07-17
CENN,CENN,2514,2016-07-18,2026-07-17
CENT,CENT,2514,2016-07-18,2026-07-17
CENTA,CENTA,2514,2016-07-18,2026-07-17
CENX,CENX,2514,2016-07-18,2026-07-17
CEPF,CEPF,227,2025-08-21,2026-07-17
