symbol,name,lastsale,netchange,pctchange,marketCap,url,yahoo_symbol
ALKS,Alkermes plc Ordinary Shares,$52.72,0.78,1.502%,"8,787,148,545",/market-activity/stocks/alks,ALKS
ALKT,"Alkami Technology, Inc. Common Stock",$17.91,-0.23,-1.268%,"1,916,713,406",/market-activity/stocks/alkt,ALKT
ALLO,"Allogene Therapeutics, Inc. Common Stock",$1.79,UNCH,--,"617,826,664",/market-activity/stocks/allo,ALLO
ALLR,"Allarity Therapeutics, Inc. Common Stock",$1.19,0.02,1.709%,"18,398,262",/market-activity/stocks/allr,ALLR
ALLT,Allot Ltd. Ordinary Shares,$8.05,-0.29,-3.477%,"393,830,947",/market-activity/stocks/allt,ALLT
ALMR,"Alamar Biosciences, Inc. Common Stock",$25.95,1.00,4.008%,"1,798,625,277",/market-activity/stocks/almr,ALMR
ALMS,Alumis Inc. Common Stock,$28.66,1.43,5.252%,"3,653,920,147",/market-activity/stocks/alms,ALMS
ALMU,"Aeluma, Inc. Common Stock",$14.60,-0.54,-3.567%,"267,257,891",/market-activity/stocks/almu,ALMU
ALNT,Allient Inc. Common Stock,$87.67,0.49,0.562%,"1,490,084,207",/market-activity/stocks/alnt,ALNT
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",$267.47,-15.68,-5.538%,"35,710,607,900",/market-activity/stocks/alny,ALNY
ALOT,"AstroNova, Inc. Common Stock",$28.62,0.03,0.105%,"221,741,235",/market-activity/stocks/alot,ALOT
ALOY,REalloys Inc. Common Stock,$8.885,-0.905,-9.244%,"611,128,790",/market-activity/stocks/aloy,ALOY
ALP,Alpha Compute Corp Common Stock,$0.2007,-0.0032,-1.569%,"4,703,322",/market-activity/stocks/alp,ALP
ALPX,Alpex Acquisition Corporation Class A Ordinary Shares,$9.86,UNCH,--,NA,/market-activity/stocks/alpx,ALPX
ALRM,"Alarm.com Holdings, Inc. Common Stock",$53.20,-0.90,-1.664%,"2,631,303,016",/market-activity/stocks/alrm,ALRM
ALRS,Alerus Financial Corporation Common Stock,$32.15,-0.44,-1.35%,"807,885,969",/market-activity/stocks/alrs,ALRS
ALT,"Altimmune, Inc. Common Stock",$2.87,0.02,0.702%,"558,140,822",/market-activity/stocks/alt,ALT
ALTI,"AlTi Global, Inc. Class A Common Stock",$3.46,-0.12,-3.352%,"524,597,726",/market-activity/stocks/alti,ALTI
ALTO,"Alto Ingredients, Inc. Common Stock",$5.84,0.675,13.069%,"452,513,294",/market-activity/stocks/alto,ALTO
ALVO,Alvotech Ordinary Shares,$3.46,0.09,2.671%,"1,080,049,947",/market-activity/stocks/alvo,ALVO
ALXO,ALX Oncology Holdings Inc. Common Stock,$2.10,0.03,1.449%,"282,582,126",/market-activity/stocks/alxo,ALXO
ALZN,"Alzamend Neuro, Inc. Common Stock",$1.21,-0.01,-0.82%,"4,603,737",/market-activity/stocks/alzn,ALZN
AMAL,Amalgamated Financial Corp. Common Stock (DE),$47.67,-0.63,-1.304%,"1,423,776,431",/market-activity/stocks/amal,AMAL
AMAN,Amanat Acquisition Corp Class A Ordinary Shares,$10.095,0.015,0.149%,NA,/market-activity/stocks/aman,AMAN
AMAT,"Applied Materials, Inc. Common Stock",$529.66,-31.27,-5.575%,"420,528,551,694",/market-activity/stocks/amat,AMAT
AMBA,"Ambarella, Inc. Ordinary Shares",$61.84,-1.45,-2.291%,"2,712,808,560",/market-activity/stocks/amba,AMBA
AMCI,AMC Robotics Corporation Common Stock,$5.05,-0.08,-1.559%,"114,131,833",/market-activity/stocks/amci,AMCI
AMCX,AMC Global Media Inc. Class A Common Stock,$10.49,-0.41,-3.761%,"460,801,699",/market-activity/stocks/amcx,AMCX
AMD,"Advanced Micro Devices, Inc. Common Stock",$495.76,-5.18,-1.034%,"808,386,572,791",/market-activity/stocks/amd,AMD
AMGN,Amgen Inc. Common Stock,$366.29,-5.29,-1.424%,"197,689,743,683",/market-activity/stocks/amgn,AMGN
AMIX,"Autonomix Medical, Inc. Common Stock",$4.45,-0.47,-9.553%,"2,417,694",/market-activity/stocks/amix,AMIX
AMKR,"Amkor Technology, Inc. Common Stock",$62.94,-0.08,-0.127%,"15,601,096,283",/market-activity/stocks/amkr,AMKR
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",$17.75,0.73,4.289%,"1,973,557,127",/market-activity/stocks/amlx,AMLX
AMOD,"Alpha Modus Holdings, Inc. Class A Common Stock",$3.88,-0.18,-4.433%,"17,175,181",/market-activity/stocks/amod,AMOD
AMPG,"Amplitech Group, Inc. Common Stock",$6.64,0.22,3.427%,"168,249,625",/market-activity/stocks/ampg,AMPG
AMPH,"Amphastar Pharmaceuticals, Inc. Common Stock",$19.745,-0.115,-0.579%,"870,614,686",/market-activity/stocks/amph,AMPH
