symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
PAYO,Payoneer Global Inc. Common Stock,1443,2020-10-16,2026-07-17,51.41144027831022,17287375.615262985,2383624088.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PCT,"PureCycle Technologies, Inc. Common stock",1510,2020-07-14,2026-07-17,81.3891366015922,32939351.186990734,1213337590.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PDFS,"PDF Solutions, Inc. Common Stock",2514,2016-07-18,2026-07-17,62.21510710128486,9350843.258953094,2041564543.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PENG,"Penguin Solutions, Inc. Common Stock",2299,2017-05-24,2026-07-17,74.81451917622508,24424967.623710632,3095571447.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PENN,"PENN Entertainment, Inc. Common Stock",2514,2016-07-18,2026-07-17,51.92704411122142,55562629.9407959,2753158141.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PGNY,"Progyny, Inc. Common Stock",1689,2019-10-25,2026-07-17,55.45274862180779,28508643.676280975,2501152574.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PGY,Pagaya Technologies Ltd. Class A Ordinary Shares,1316,2021-04-21,2026-07-17,76.45841266786384,72017577.2778511,1422154026.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PHAT,"Phathom Pharmaceuticals, Inc. Common Stock",1689,2019-10-25,2026-07-17,61.913068262613415,11897037.261247637,872530126.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PI,"Impinj, Inc. Common Stock",2511,2016-07-21,2026-07-17,76.55681460734776,71378470.10383606,4214637428.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PLAB,"Photronics, Inc. Common Stock",2514,2016-07-18,2026-07-17,84.08892270646463,29202881.64424896,1701102687.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PLAY,"Dave & Buster's Entertainment, Inc. Common Stock",2514,2016-07-18,2026-07-17,71.64548565393942,18798048.044872284,354496792.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PLPC,Preformed Line Products Company Common Stock,2514,2016-07-18,2026-07-17,52.97014288042534,24081373.583984375,1600481769.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PLTR,Palantir Technologies Inc. Class A Common Stock,1455,2020-09-30,2026-07-17,51.4930973263851,7170378049.867249,317356159515.0,中波动,高流动性,超大盘（≥200B）,历史≥1年,高流动性－中波动
PNRG,PrimeEnergy Resources Corporation Common Stock,2514,2016-07-18,2026-07-17,61.674381922985965,10397555.586242676,301773180.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
POWI,"Power Integrations, Inc. Common Stock",2514,2016-07-18,2026-07-17,60.32356248414269,38488535.929870605,3925472873.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
POWL,"Powell Industries, Inc. Common Stock",2514,2016-07-18,2026-07-17,61.43486178319516,105662580.8494568,8480923571.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PRCH,"Porch Group, Inc. Common Stock",1636,2020-01-13,2026-07-17,73.79339034036215,17768569.56615448,1747147739.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
