symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
ABVC,data/nasdaq_10y/ABVC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,26,10000,3859.84,-6140.16,11.54,-2.362,4.347,-3.237,1.343,0.175,-57.44,1.65,6.395,-20.0,1304.23,7444.39
ACAA,data/nasdaq_10y/ACAA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
ACAA,data/nasdaq_10y/ACAA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
ACAD,data/nasdaq_10y/ACAD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,47,10000,10421.1,421.1,23.4,0.337,8.253,-2.082,3.963,1.049,-36.88,3.28,49.568,-8.977,9041.69,8620.76
ACAD,data/nasdaq_10y/ACAD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,47,10000,11581.72,1581.72,23.4,0.337,8.253,-2.082,3.963,1.211,-30.39,3.28,49.568,-8.977,9078.04,7496.32
ACCL,data/nasdaq_10y/ACCL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,3,10000,8949.97,-1050.03,0.0,-3.603,,-3.603,,0.0,-3.96,1.0,-2.0,-6.81,0.0,1050.01
ACCL,data/nasdaq_10y/ACCL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,3,10000,8919.02,-1080.98,0.0,-3.603,,-3.603,,0.0,-4.29,1.0,-2.0,-6.81,0.0,1080.98
ACDC,data/nasdaq_10y/ACDC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,18,10000,7371.31,-2628.69,11.11,-1.654,4.037,-2.365,1.707,0.193,-24.78,1.72,6.197,-5.25,628.52,3257.22
ACDC,data/nasdaq_10y/ACDC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,18,10000,7023.67,-2976.33,11.11,-1.654,4.037,-2.365,1.707,0.213,-28.33,1.72,6.197,-5.25,807.23,3783.56
ACET,data/nasdaq_10y/ACET.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,26,10000,12720.26,2720.26,23.08,1.314,13.589,-2.369,5.737,1.41,-24.47,2.65,38.769,-10.332,9354.12,6633.83
ACET,data/nasdaq_10y/ACET.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,26,10000,13416.3,3416.3,23.08,1.314,13.589,-2.369,5.737,1.721,-16.84,2.65,38.769,-10.332,8153.51,4737.21
ACFN,data/nasdaq_10y/ACFN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,6149.91,-3850.09,25.0,-2.165,6.832,-5.164,1.323,0.36,-46.56,2.75,11.801,-16.352,2167.8,6017.95
ACFN,data/nasdaq_10y/ACFN.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,20,10000,5669.63,-4330.37,25.0,-2.165,6.832,-5.164,1.323,0.441,-60.66,2.75,11.801,-16.352,3415.88,7746.25
ACGC,data/nasdaq_10y/ACGC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
ACGC,data/nasdaq_10y/ACGC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
ACGL,data/nasdaq_10y/ACGL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,38,10000,9484.34,-515.66,34.21,-0.046,3.427,-1.852,1.85,0.898,-24.93,4.82,23.269,-8.444,4562.42,5077.96
ACGL,data/nasdaq_10y/ACGL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,38,10000,9824.53,-175.47,34.21,-0.046,3.427,-1.852,1.85,0.962,-22.49,4.82,23.269,-8.444,4454.98,4630.45
ACHC,data/nasdaq_10y/ACHC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,57,10000,11754.67,1754.67,29.82,0.477,6.37,-2.028,3.141,1.243,-32.75,3.53,45.493,-8.607,8981.84,7227.17
ACHC,data/nasdaq_10y/ACHC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,57,10000,12717.4,2717.4,29.82,0.477,6.37,-2.028,3.141,1.335,-34.69,3.53,45.493,-8.607,10829.41,8112.01
ACIC,data/nasdaq_10y/ACIC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,9471.26,-528.74,28.21,0.292,8.078,-2.767,2.919,0.943,-38.59,3.33,58.0,-21.32,8800.0,9328.81
ACIC,data/nasdaq_10y/ACIC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,39,10000,11137.97,1137.97,28.21,0.292,8.078,-2.767,2.919,1.147,-29.0,3.33,58.0,-21.32,8886.14,7748.17
ACIU,data/nasdaq_10y/ACIU.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,42,10000,9886.31,-113.69,23.81,0.17,7.84,-2.227,3.521,0.982,-30.86,2.64,39.13,-5.673,6206.65,6320.34
ACIU,data/nasdaq_10y/ACIU.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,42,10000,10714.22,714.22,23.81,0.17,7.84,-2.227,3.521,1.1,-33.79,2.64,39.13,-5.673,7840.47,7126.25
ACIW,data/nasdaq_10y/ACIW.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,41,10000,9112.65,-887.35,31.71,-0.145,3.624,-1.895,1.912,0.827,-20.93,3.66,20.073,-3.828,4252.16,5139.47
ACIW,data/nasdaq_10y/ACIW.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,41,10000,9404.34,-595.66,31.71,-0.145,3.624,-1.895,1.912,0.888,-22.23,3.66,20.073,-3.828,4711.25,5306.91
ACLS,data/nasdaq_10y/ACLS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,56,10000,9372.43,-627.57,25.0,-0.0,6.703,-2.234,3.0,0.922,-36.46,2.82,16.948,-10.775,7382.36,8009.75
ACLS,data/nasdaq_10y/ACLS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,56,10000,9999.0,-1.0,25.0,-0.0,6.703,-2.234,3.0,1.0,-42.49,2.82,16.948,-10.775,9383.72,9384.72
ACMR,data/nasdaq_10y/ACMR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,28,10000,6175.25,-3824.75,14.29,-1.66,4.342,-2.66,1.632,0.236,-36.99,1.82,6.94,-10.347,1183.67,5008.4
