symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,复利,2020-05-07,2020-05-11,2020-05-12,1,8.0246,7.8642,-2.1,-294.66,t3 日内止损
NVDA,复利,2020-07-06,2020-07-08,2020-07-13,3,10.1689,10.0059,-1.703,-233.91,收盘价低于入场价
NVDA,复利,2020-07-27,2020-07-29,2020-08-07,7,10.4172,11.1479,6.914,933.51,收盘价低于 SMA5
NVDA,复利,2020-11-25,2020-11-30,2020-12-03,3,13.3437,13.3422,-0.112,-16.1,收盘价低于入场价
NVDA,复利,2021-02-02,2021-02-04,2021-02-17,8,13.6093,14.8461,8.988,1296.01,收盘价低于 SMA5
NVDA,复利,2021-03-26,2021-03-30,2021-04-19,13,12.8244,15.3053,19.245,3024.5,收盘价低于 SMA5
NVDA,复利,2021-06-22,2021-06-24,2021-07-08,9,19.1393,19.8341,3.53,661.63,收盘价低于 SMA5
NVDA,复利,2021-08-04,2021-08-06,2021-08-10,2,20.2958,19.8899,-2.1,-407.45,t4 日内止损
NVDA,复利,2021-10-28,2021-11-01,2021-11-10,7,25.7425,29.3626,13.963,2652.2,收盘价低于 SMA5
NVDA,复利,2022-01-26,2022-01-28,2022-02-03,4,22.7681,23.8726,4.751,1028.47,收盘价低于 SMA5
NVDA,复利,2022-07-18,2022-07-20,2022-07-22,2,17.7577,17.4025,-2.1,-476.18,t4 日内止损
NVDA,复利,2022-09-08,2022-09-12,2022-09-13,1,14.4691,13.7679,-4.947,-1098.11,t3 日内止损
NVDA,复利,2022-10-21,2022-10-25,2022-10-26,1,13.2282,12.8372,-3.056,-644.86,t3 日内止损
NVDA,复利,2022-10-27,2022-10-31,2022-11-02,2,13.4636,13.1944,-2.1,-429.58,t4 日内止损
NVDA,复利,2022-11-08,2022-11-10,2022-11-16,4,15.7111,15.8707,0.916,183.42,收盘价低于 SMA5
NVDA,复利,2023-01-13,2023-01-18,2023-01-19,1,17.3385,16.9917,-2.1,-424.41,t3 日内止损
NVDA,复利,2023-02-13,2023-02-15,2023-02-16,1,22.7135,22.0839,-2.872,-568.23,t3 日内止损
NVDA,复利,2023-03-29,2023-03-31,2023-04-05,3,27.7201,26.826,-3.326,-639.11,收盘价低于入场价
NVDA,复利,2023-05-15,2023-05-17,2023-05-23,4,30.1162,30.6252,1.59,295.39,收盘价低于 SMA5
NVDA,复利,2023-07-17,2023-07-19,2023-07-20,1,46.9855,46.0458,-2.1,-396.35,t3 日内止损
NVDA,复利,2023-07-25,2023-07-27,2023-08-02,4,45.8108,44.1829,-3.653,-675.05,收盘价低于入场价
NVDA,复利,2023-10-06,2023-10-10,2023-10-13,3,45.7127,45.3764,-0.836,-148.8,收盘价低于入场价
NVDA,复利,2023-12-05,2023-12-07,2023-12-20,9,46.5133,48.0256,3.151,556.33,收盘价低于 SMA5
NVDA,复利,2024-01-05,2024-01-09,2024-01-31,15,53.0457,61.4178,15.683,2855.82,收盘价低于 SMA5
NVDA,复利,2024-02-01,2024-02-05,2024-02-06,1,69.209,67.8248,-2.1,-442.38,t3 日内止损
NVDA,复利,2024-05-20,2024-05-22,2024-05-31,6,94.786,109.4436,15.364,3168.55,收盘价低于 SMA5
NVDA,复利,2024-10-07,2024-10-09,2024-10-15,4,132.4431,131.3947,-0.892,-212.12,收盘价低于入场价
NVDA,复利,2024-11-29,2024-12-03,2024-12-09,4,140.0412,138.603,-1.127,-265.74,收盘价低于入场价
NVDA,复利,2025-01-21,2025-01-23,2025-01-24,1,147.0005,144.0604,-2.1,-489.59,t3 日内止损
NVDA,复利,2025-04-22,2025-04-24,2025-05-20,18,106.281,134.1919,26.161,5971.18,收盘价低于 SMA5
NVDA,复利,2025-07-23,2025-07-25,2025-08-01,5,173.2692,173.4889,0.027,7.72,收盘价低于 SMA5
NVDA,复利,2025-09-29,2025-10-01,2025-10-06,3,187.0015,185.3036,-1.008,-290.32,收盘价低于入场价
NVDA,复利,2025-10-24,2025-10-28,2025-11-04,5,200.7739,198.4369,-1.264,-360.41,收盘价低于入场价
NVDA,复利,2025-12-04,2025-12-08,2025-12-11,3,185.324,180.7096,-2.59,-729.13,收盘价低于入场价
NVDA,复利,2026-02-09,2026-02-11,2026-02-13,2,189.8185,186.0221,-2.1,-575.89,t4 日内止损
NVDA,复利,2026-04-08,2026-04-10,2026-04-21,7,188.4104,199.6473,5.864,1574.36,收盘价低于 SMA5
NVDA,复利,2026-06-11,2026-06-15,2026-06-16,1,212.45,208.201,-2.1,-596.86,t3 日内止损
NVDA,固定仓位,2010-04-13,2010-04-15,2010-04-16,1,0.4123,0.3956,-4.153,-415.33,t3 日内止损
NVDA,固定仓位,2010-06-11,2010-06-15,2010-06-16,1,0.2729,0.2674,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2010-08-25,2010-08-27,2010-08-30,1,0.2317,0.227,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2010-09-23,2010-09-27,2010-09-28,1,0.2747,0.2692,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2010-11-02,2010-11-04,2010-11-11,5,0.2839,0.2887,1.594,159.35,收盘价低于 SMA5
NVDA,固定仓位,2011-02-01,2011-02-03,2011-02-07,2,0.5746,0.5631,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2011-02-24,2011-02-28,2011-03-01,1,0.5188,0.5084,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2011-03-23,2011-03-25,2011-03-30,3,0.4265,0.4224,-1.066,-106.62,收盘价低于入场价
NVDA,固定仓位,2011-04-13,2011-04-15,2011-04-18,1,0.4283,0.4183,-2.452,-245.16,t3 日内止损
NVDA,固定仓位,2011-05-09,2011-05-11,2011-05-13,2,0.4549,0.4395,-3.472,-347.19,t4 日内止损
NVDA,固定仓位,2011-05-18,2011-05-20,2011-05-23,1,0.4141,0.4059,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2011-06-21,2011-06-23,2011-06-24,1,0.3711,0.3637,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2011-09-06,2011-09-08,2011-09-09,1,0.3246,0.3181,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2011-09-12,2011-09-14,2011-09-19,3,0.3498,0.3466,-1.016,-101.63,收盘价低于入场价
NVDA,固定仓位,2011-09-23,2011-09-27,2011-09-28,1,0.3168,0.3105,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2012-03-28,2012-03-30,2012-04-03,2,0.3526,0.3455,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2012-05-25,2012-05-30,2012-05-31,1,0.2878,0.282,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2012-06-15,2012-06-19,2012-06-21,2,0.3031,0.297,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2012-08-03,2012-08-07,2012-08-14,5,0.3239,0.334,3.01,300.96,收盘价低于 SMA5
NVDA,固定仓位,2013-06-13,2013-06-17,2013-06-20,3,0.3376,0.3364,-0.445,-44.5,收盘价低于入场价
NVDA,固定仓位,2013-09-10,2013-09-12,2013-09-20,6,0.3677,0.3698,0.473,47.32,收盘价低于 SMA5
NVDA,固定仓位,2013-11-25,2013-11-27,2013-12-05,5,0.3696,0.3696,-0.1,-10.0,收盘价低于 SMA5
NVDA,固定仓位,2013-12-20,2013-12-24,2014-01-03,6,0.3725,0.3689,-1.048,-104.82,收盘价低于入场价
NVDA,固定仓位,2014-02-11,2014-02-13,2014-02-27,9,0.4087,0.4375,6.948,694.8,收盘价低于 SMA5
NVDA,固定仓位,2014-03-18,2014-03-20,2014-03-24,2,0.4392,0.4304,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2014-10-14,2014-10-16,2014-11-07,16,0.4164,0.4723,13.31,1330.97,收盘价低于 SMA5
NVDA,固定仓位,2014-11-18,2014-11-20,2014-12-01,6,0.4875,0.4932,1.08,108.0,收盘价低于 SMA5
NVDA,固定仓位,2015-02-02,2015-02-04,2015-02-19,10,0.4831,0.5316,9.92,991.98,收盘价低于 SMA5
NVDA,固定仓位,2015-04-09,2015-04-13,2015-04-16,3,0.5425,0.5411,-0.366,-36.61,收盘价低于入场价
NVDA,固定仓位,2015-07-28,2015-07-30,2015-08-13,10,0.4839,0.5685,17.383,1738.26,收盘价低于 SMA5
NVDA,固定仓位,2015-10-30,2015-11-03,2015-11-04,1,0.6917,0.6779,-2.1,-210.0,t3 日内止损
