策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,BOKF,23.021943949336155,32809063.16986084,8.371060775593243,4.59124149532073,6.0481414193082506,2514,19,47.37,2.206,-6.89,21.447499999999998
高流动性－低波动,BPOP,24.32514438171541,67189139.91317749,7.856062594379254,15.81253976108008,8.98534213160338,2514,19,31.58,1.178,-10.24,3.858700000000015
高流动性－低波动,BSY,37.63072337486288,85071199.33948517,10.074884534966255,-8.17717481060819,1.7377852007516292,1460,7,57.14,3.451,-2.92,13.044300000000009
高流动性－低波动,BUSE,23.427676035064614,13421019.142055511,6.234503214385856,14.030420688597832,6.950535810559999,2514,18,22.22,0.392,-19.47,-17.675400000000007
高流动性－低波动,CACC,40.65828677173939,66268535.83831787,10.396222648778263,21.497453894565698,10.326567148001642,2514,12,25.0,0.088,-14.05,-15.31110000000001
高流动性－低波动,CAKE,35.314968721354695,72637591.02687836,11.115421596434194,35.56187138061231,21.356609208957344,2514,19,15.79,0.479,-17.01,-17.619300000000003
高流动性－低波动,CALM,34.36952940961341,76942569.87304688,13.919978422153335,15.059776643920909,11.681469059741346,2514,18,11.11,0.197,-23.18,-24.168699999999998
高流动性－低波动,CARG,37.88259230969775,34257964.63108063,16.58893892837505,-8.208762078248611,12.063472767390993,2201,18,22.22,1.837,-11.73,23.201099999999997
高流动性－低波动,CART,43.05194811973225,178406546.29192352,2.850730593744144,5.236561165261189,5.9801776101949145,709,7,28.57,2.226,-4.89,17.31450000000001
高流动性－低波动,CASH,28.99449951050534,15517322.142028809,9.396707858266783,-8.882346777233396,6.086251479523841,2514,20,20.0,0.874,-21.83,-3.6406999999999967
高流动性－低波动,CASY,32.79018964088564,214421459.23156738,2.0029676600994417,9.734199919124965,4.181824421933267,2514,17,35.29,0.626,-3.4,-4.157700000000009
高流动性－低波动,CATY,25.105233322858727,19658526.788711548,6.126246272697333,16.60468670113371,5.707637561603907,2514,12,33.33,0.742,-12.49,-5.003799999999991
高流动性－低波动,CBSH,20.863435571605027,58837488.38939667,8.057737775073104,16.877472674025974,8.182265823238888,2514,23,34.78,1.222,-6.29,4.4273999999999925
高流动性－低波动,CCB,40.47669278587122,11204231.462097168,10.230288450736747,-3.423814458495833,7.536256634363414,2009,12,41.67,0.968,-8.73,-0.5665999999999949
高流动性－低波动,CCEP,23.225771868104818,156438836.7050171,8.511296785335375,9.346083413653904,7.69511187561378,2514,16,18.75,0.581,-15.33,-10.664200000000001
高流动性－低波动,CDNS,40.18802983392028,612622911.0351562,-14.786139841228874,-0.45233861049441826,-11.945451773235394,2514,24,50.0,1.95,-10.98,31.797300000000007
高流动性－低波动,CDW,42.10438801083383,202744174.23324585,3.793729501610388,-6.458857617632152,6.282678984618562,2514,17,23.53,0.702,-16.87,-8.2241
高流动性－低波动,CEG,46.82944661934981,891716384.3688965,-7.90702706049331,-12.108233677756019,-5.659567130543886,1127,4,25.0,1.99,-5.02,5.283700000000002
高流动性－低波动,CENTA,28.604127558069475,9807128.798675537,1.349926290918635,13.150120398563715,5.488489019835074,2514,15,40.0,1.778,-5.65,15.276
