signal_lo_pct,signal_hi_pct,entry_day,early_stop_days,stop_pct,sma_n,cost_bps,symbols,trades,win_rate_pct,profit_factor,total_pnl_independent,profitable_symbols,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
6.0,8.5,t1,"t2,t3",7.000000000000001,8,5.0,103,3184,25.251256281407038,1.2142558445513476,299781.27999999997,42,-49.1,-60.325,False
6.0,7.5,t3,"t4,t5",7.000000000000001,10,5.0,103,2079,23.76142376142376,1.213091230497263,190911.54000000004,42,-38.87,-56.195,False
5.0,7.5,t1,"t2,t3",5.0,10,5.0,103,3958,20.66700353713997,1.2127178115743218,295625.7799999999,40,-54.49,-66.56,False
6.0,8.5,t3,"t4,t5",7.000000000000001,10,5.0,103,2871,24.033437826541274,1.2124057337474927,266048.41999999975,44,-49.74,-64.66499999999999,False
6.0,8.5,t1,"t2,t3",7.000000000000001,10,5.0,103,3148,23.316391359593393,1.2121067524014884,299384.4699999999,42,-49.6,-63.790000000000006,False
6.0,8.5,t1,"t2,t3",9.0,10,5.0,103,3110,24.983922829581996,1.2119958832964628,312773.95999999985,42,-51.01,-65.935,False
6.0,7.5,t3,"t4,t5",9.0,10,5.0,103,2065,25.13317191283293,1.2093332807335173,195534.2400000001,45,-41.47,-55.9,False
5.0,6.5,t1,"t2,t3",5.0,10,5.0,103,2814,20.64676616915423,1.2078281542846556,209491.48,41,-44.3,-56.394999999999996,False
5.0,7.5,t3,"t4,t5",7.000000000000001,10,5.0,103,3541,24.371646427562833,1.2051196131659887,304034.9900000001,44,-49.95,-64.965,False
6.0,8.5,t1,"t2,t3",9.0,8,5.0,103,3148,26.874205844980942,1.2047930198701422,298772.64999999997,44,-50.31,-63.41,False
7.000000000000001,8.5,t2,"t3,t4",5.0,8,5.0,103,1784,22.6457399103139,1.2029434613788998,152440.30999999994,42,-32.42,-42.620000000000005,False
5.0,7.5,t1,"t2,t3",9.0,8,5.0,103,3901,26.76236862342989,1.2025935107102774,346098.6699999998,46,-54.93,-70.105,False
7.000000000000001,8.5,t2,"t3,t4",5.0,10,5.0,103,1768,20.361990950226243,1.2022739143921668,154183.0700000002,43,-32.55,-44.085,False
6.0,7.5,t1,"t2,t3",9.0,10,5.0,103,2201,24.852339845524764,1.2005831673543674,205850.95,45,-43.45,-53.665000000000006,False
7.000000000000001,9.5,t1,"t2,t3",5.0,10,5.0,103,2617,19.717233473442874,1.1939072468546053,199576.95999999996,35,-44.42,-56.18,False
7.000000000000001,8.5,t2,"t3,t4",7.000000000000001,8,5.0,103,1772,26.185101580135438,1.1883494088044937,163673.86000000007,44,-36.06,-48.26,False
7.000000000000001,8.5,t2,"t3,t4",9.0,5,5.0,103,1787,32.79238947957471,1.1876584890898276,175074.63000000006,38,-34.95,-47.95,False
7.000000000000001,9.5,t1,"t2,t3",9.0,10,5.0,103,2566,23.850350740452065,1.187462394789049,228607.1100000003,37,-49.0,-63.44500000000001,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,3,5.0,103,1843,33.53228431904503,1.1863035204319328,139162.69,40,-29.64,-44.705,False
6.0,8.5,t1,"t2,t3",7.000000000000001,5,5.0,103,3240,29.598765432098766,1.186047467447379,261733.82,49,-46.07,-57.175,False
6.0,7.5,t2,"t3,t4",9.0,10,5.0,103,2137,24.988301357042584,1.1841846552709376,189429.53,45,-40.53,-56.585,False
5.0,7.5,t3,"t4,t5",9.0,10,5.0,103,3506,25.5561893896178,1.1823879930466583,279386.78999999975,47,-53.31,-66.535,False
6.0,8.5,t2,"t3,t4",5.0,8,5.0,103,3089,22.62868242149563,1.1815865153098508,222805.30000000013,37,-43.16,-57.260000000000005,False
7.000000000000001,8.5,t2,"t3,t4",7.000000000000001,10,5.0,103,1756,23.519362186788154,1.1815212030816986,163024.74000000002,40,-37.43,-49.900000000000006,False
6.0,8.5,t3,"t4,t5",9.0,8,5.0,103,2885,27.694974003466204,1.179794315074747,225047.35000000012,46,-44.7,-64.755,False
6.0,8.5,t1,"t2,t3",5.0,8,5.0,103,3224,22.084367245657567,1.1794686360179396,215821.1700000001,40,-44.88,-62.09,False
5.0,7.5,t3,"t4,t5",7.000000000000001,5,5.0,103,3666,31.4784506273868,1.178784092888466,253437.38999999996,45,-46.01,-63.155,False
7.000000000000001,9.5,t1,"t2,t3",5.0,5,5.0,103,2685,25.95903165735568,1.1787190020249119,186711.00999999986,39,-40.59,-52.18,False
5.0,6.5,t1,"t2,t3",7.000000000000001,8,5.0,103,2796,25.21459227467811,1.1765954318720413,197986.7900000001,42,-47.19,-57.394999999999996,False
6.0,8.5,t2,"t3,t4",7.000000000000001,8,5.0,103,3051,26.18813503769256,1.1765073626471645,245090.57000000004,44,-47.49,-59.765,False
7.000000000000001,8.5,t1,"t2,t3",9.0,3,5.0,103,1830,36.01092896174863,1.1761917544065255,137573.52000000002,46,-32.5,-48.045,False
7.000000000000001,9.5,t1,"t2,t3",9.0,5,5.0,103,2639,31.072375899962108,1.1746040235036288,218346.0399999999,38,-46.34,-60.855000000000004,False
6.0,8.5,t1,"t2,t3",9.0,5,5.0,103,3208,31.60847880299252,1.1738963150125707,256210.53,50,-45.65,-62.33,False
