screen,symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
复利；至少20笔交易；按盈利因子降序,PRTA,data/nasdaq_10y/PRTA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,43,10000,25374.82,15374.82,23.26,3.192,21.229,-2.274,9.338,2.209,-17.18,2.65,85.742,-6.758,28095.81,12720.55
复利；至少20笔交易；按盈利因子降序,PLMR,data/nasdaq_10y/PLMR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,41,10000,17481.78,7481.78,41.46,1.505,6.33,-1.913,3.309,2.191,-10.01,4.1,18.57,-4.673,13764.49,6282.83
复利；至少20笔交易；按盈利因子降序,FCNCA,data/nasdaq_10y/FCNCA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,52,10000,19490.69,9490.69,42.31,1.414,5.741,-1.76,3.263,2.188,-10.66,4.77,19.475,-3.65,17479.95,7989.45
复利；至少20笔交易；按盈利因子降序,MDLZ,data/nasdaq_10y/MDLZ.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,12459.98,2459.98,55.0,1.166,3.705,-1.937,1.913,2.183,-5.88,6.9,8.554,-3.102,4539.27,2079.31
复利；至少20笔交易；按盈利因子降序,PRVA,data/nasdaq_10y/PRVA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,26,10000,15255.91,5255.91,46.15,1.902,6.998,-2.466,2.837,2.174,-16.52,4.35,33.472,-5.503,9732.74,4477.0
复利；至少20笔交易；按盈利因子降序,WNEB,data/nasdaq_10y/WNEB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,13261.16,3261.16,33.33,1.338,7.544,-1.765,4.274,2.171,-15.92,4.46,18.072,-3.41,6046.69,2785.68
复利；至少20笔交易；按盈利因子降序,SFST,data/nasdaq_10y/SFST.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,40,10000,15457.72,5457.72,45.0,1.207,4.791,-1.725,2.777,2.131,-7.02,4.47,16.432,-5.528,10281.14,4823.53
复利；至少20笔交易；按盈利因子降序,APPS,data/nasdaq_10y/APPS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,23510.04,13510.04,30.77,2.786,13.935,-2.168,6.426,2.13,-14.1,3.18,66.375,-3.714,25466.45,11956.21
复利；至少20笔交易；按盈利因子降序,BCBP,data/nasdaq_10y/BCBP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,32,10000,13923.62,3923.62,37.5,1.131,5.581,-1.539,3.625,2.122,-10.3,3.94,13.421,-2.0,7421.86,3498.38
复利；至少20笔交易；按盈利因子降序,HALO,data/nasdaq_10y/HALO.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,57,10000,18838.92,8838.92,40.35,1.276,6.259,-2.096,2.987,2.115,-16.81,4.35,17.83,-10.197,16762.08,7923.83
复利；至少20笔交易；按盈利因子降序,SANM,data/nasdaq_10y/SANM.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,47,10000,18106.63,8106.63,40.43,1.47,6.962,-2.258,3.084,2.102,-23.45,4.83,25.393,-9.325,15465.12,7358.08
